id,license_id,account_number,site_number,legal_name,doing_business_as_name,address,city,state,zip_code,ward,precinct,ward_precinct,police_district,license_code,license_description,business_activity_id,business_activity,license_number,application_type,application_created_date,application_requirements_complete,payment_date,conditional_approval,license_term_start_date,license_term_expiration_date,license_approved_for_issuance,date_issued,license_status,license_status_change_date,ssa,latitude,longitude,location
2469512-20161116,2469512,370366,2,CHICAGO WALDORF SCHOOL,CHICAGO WALDORF SCHOOL,1257 W LOYOLA AVE 1ST,CHICAGO,IL,60626,49,13,49-13,24,1023,Children's Services Facility License,824,"Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm With Before and After School Programs",2469512,ISSUE,2016-05-24,2016-06-24,2016-06-24,N,2016-11-16,2018-03-15,2016-11-15,2016-11-16,AAI,,54,42.001287543,-87.663049843,"(42.00128754307026, -87.6630498434342)"
1225-20021116,1278241,236,1,JAMES E HARRINGTON,EDDIE'S FOOD & LIQUOR,9807 S COTTAGE GROVE AVE,CHICAGO,IL,60628,8,47,8-47,5,1474,Package Goods,774,Retail Sales of Packaged Liquor,1225,RENEW,2002-09-24,2002-11-13,2002-11-13,N,2002-11-16,2003-05-15,2002-11-13,2002-11-14,AAI,,,41.716330447,-87.604350268,"(41.71633044673004, -87.6043502679803)"
1676113-20070816,1838820,299808,1,"ALL EVENTS VIDEOS, INC.",ALL EVENTS VIDEO,6670 W RAVEN ST,CHICAGO,IL,60631,41,22,41-22,16,1012,Home Occupation,,,1676113,RENEW,,2007-06-21,2007-09-07,N,2007-08-16,2008-08-15,2007-09-10,2007-09-11,AAI,,,41.99381136,-87.794446208,"(41.99381135999219, -87.79444620775332)"
1891723-20120316,2136585,326995,1,WHEELER-DEALER LTD.,"WHEELER FINANCIAL, INC.",120 N LA SALLE ST 13 1350,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,,,1891723,RENEW,,2012-01-17,2012-03-13,N,2012-03-16,2014-03-15,2012-03-13,2012-03-14,AAI,,,41.883761219,-87.632569093,"(41.883761218894925, -87.6325690927183)"
27697-20061116,1749169,30835,1,BAUMGARTNER ART RESTORATION,BAUMGARTNER ART RESTORATION,1006 S MICHIGAN AVE 706,CHICAGO,IL,60605,4,37,4-37,1,1010,Limited Business License,,,27697,RENEW,,2006-09-20,2006-10-17,N,2006-11-16,2007-11-15,2006-10-17,2006-10-18,AAI,,,41.869767557,-87.624266414,"(41.86976755683275, -87.62426641387945)"
40006-20041116,1523797,15887,1,OPERA CANDY CORP,GATEWAY NEWSTAND,20 N WACKER DR 1ST,CHICAGO,IL,60606,42,9,42-9,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,40006,RENEW,,2004-09-27,2004-10-18,N,2004-11-16,2005-11-15,2004-10-18,2004-10-19,AAI,,,41.882410906,-87.63717471,"(41.88241090648542, -87.63717471046387)"
43263-20060216,1661643,64278,1,"KALLITHEA, INC.",GOLD CROWN LIQUORS,3421 -3425 N CLARK ST 1ST,CHICAGO,IL,60657,44,36,44-36,19,1781,Tobacco,763,Retail Sale of Tobacco,43263,RENEW,,2005-12-21,2006-02-01,N,2006-02-16,2007-02-15,2006-02-01,2006-02-02,AAI,,17,41.944156908,-87.653883497,"(41.944156908415145, -87.65388349655805)"
24026-20020816,1260782,52657,1,ELENA GUTIERREZ,DIGITALTRONICS,3748 W FULLERTON AVE # 1ST,CHICAGO,IL,60647,31,23,31-23,25,1061,Electronic Equipment Repair,,,24026,RENEW,,2002-06-28,2002-07-26,N,2002-08-16,2003-08-15,2002-07-26,2002-07-29,AAI,,,41.924658044,-87.721430212,"(41.92465804388296, -87.72143021189167)"
39929-20021116,1281758,15875,1,"TONY'S FINER FOODS, INC",TONY'S FINER FOODS,2500 N CENTRAL AVE 1ST,CHICAGO,IL,60639,30,6,30-6,25,1474,Package Goods,774,Retail Sales of Packaged Liquor,39929,RENEW,2002-09-24,2002-11-15,2002-11-15,N,2002-11-16,2003-05-15,2002-11-15,2002-11-18,AAI,,,41.92589288,-87.766204826,"(41.92589288021343, -87.76620482583799)"
1336310-20030411,1336310,63414,95,STARBUCKS CORPORATION,STARBUCKS COFFEE #2586,347 N LA SALLE ST,CHICAGO,IL,60610,42,46,42-46,18,1010,Limited Business License,,,1336310,ISSUE,2003-03-10,2003-03-10,2003-03-10,N,2003-04-11,2004-02-15,2003-03-10,2003-04-11,AAI,,,41.888741605,-87.63236505,"(41.88874160495607, -87.63236504957815)"
6865-20020216,1203196,25514,1,STONE MEDICAL PHARMACY INC,STONE MEDICAL PHARMACY INC,2800 N SHERIDAN RD G3,CHICAGO,IL,60657,44,8,44-8,19,1010,Limited Business License,,,6865,RENEW,,2001-12-20,2002-01-18,N,2002-02-16,2003-02-15,2002-01-18,2002-01-22,AAI,,8,41.932987177,-87.639467252,"(41.932987177104614, -87.63946725226594)"
7791-20040216,1459092,62837,1,HERMILA ALVEREZ,LOS CUATRO HERMANOS GROCERY,1858 S ALLPORT ST 1ST,CHICAGO,IL,60608,25,17,25-17,12,1010,Limited Business License,,,7791,RENEW,,2003-12-15,2004-01-08,N,2004-02-16,2005-02-15,2003-12-22,2004-01-09,AAI,,,41.856202221,-87.657744972,"(41.85620222115556, -87.65774497241726)"
1477817-20040224,1477817,272834,1,OSCAR'S GENERAL CONTRACTOR INC.,"OSCAR'S GENERAL CONTRACTOR , INC.",245 GREENWOOD,GLENWOOD,IL,60425,,,,,1010,Limited Business License,,,1477817,ISSUE,2004-02-23,2004-02-23,2004-02-23,N,2004-02-24,2005-02-15,2004-02-23,2004-02-24,AAI,,,,,
1518847-20070516,1807512,22232,50,BLOCKBUSTER INC.,BLOCKBUSTER VIDEO #17440,1958 W IRVING PARK RD,CHICAGO,IL,60613,47,12,47-12,19,1683,Secondhand Dealer,624,Buying and Reselling of Used Valuable Objects,1518847,RENEW,,2007-03-23,2007-04-13,N,2007-05-16,2009-03-15,2007-04-13,2007-04-16,AAI,,38,41.954268252,-87.678635564,"(41.95426825154366, -87.67863556401419)"
58847-20071116,1854744,40858,1,CYCOR INC,CYCOR INC,2640 W TOUHY AVE 109,CHICAGO,IL,60645,50,18,50-18,24,1008,Hazardous Materials,,,58847,RENEW,,2007-09-21,2007-11-05,N,2007-11-16,2009-10-15,2007-11-05,2007-11-06,AAI,,,42.01224972,-87.69662872,"(42.012249720325045, -87.69662872031726)"
1543892-20060816,1733969,283310,1,"LITTLE VILLAGE CONCESSIONS, LLC",VLIVE,2501-2513 S KEDZIE AVE,CHICAGO,IL,60623,12,15,12-15,10,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,1543892,RENEW,,2006-06-21,2006-08-09,N,2006-08-16,2007-08-15,2006-10-19,2006-10-19,AAI,,25,41.846245644,-87.704945372,"(41.846245643861586, -87.70494537233583)"
2031940-20100427,2031940,352782,1,Brian P Mancl,Brian Mancl Photography,1932 S HALSTED ST 5TH 502,CHICAGO,IL,60608,11,12,11-12,12,1010,Limited Business License,,,2031940,ISSUE,,2010-04-26,2010-04-26,N,2010-04-27,2011-12-15,2010-04-26,2010-04-27,AAI,,,41.855728162,-87.646730659,"(41.85572816206867, -87.64673065904732)"
2423192-20170916,2548365,400834,1,"LA CATEDRAL CAFE OF LINCOLN SQUARE, INC.",LA CATEDRAL CAFE,4544 N WESTERN AVE,CHICAGO,IL,60625,47,21,47-21,19,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2423192,RENEW,,2017-07-15,2018-01-31,N,2017-09-16,2019-09-15,2018-01-31,2019-02-11,AAI,,21,41.964490485,-87.688924554,"(41.96449048493497, -87.68892455365386)"
1353813-20030816,1378894,262127,1,HELPMATES JANITORIAL SERVICES,HELPMATES JANITORIAL SERVICES,9660 S CRANDON AVE,CHICAGO,IL,60617,7,25,7-25,4,1012,Home Occupation,,,1353813,RENEW,,2003-06-24,2003-08-12,N,2003-08-16,2004-08-15,2003-08-12,2003-08-13,AAI,,,41.719584879,-87.567020086,"(41.719584878513324, -87.56702008571678)"
1474663-20050216,1549020,2907,3,CUSHING & COMPANY,CUSHING & COMPANY,420 W HURON ST,CHICAGO,IL,60610,42,68,42-68,18,1010,Limited Business License,,,1474663,RENEW,,2004-12-20,2005-01-11,N,2005-02-16,2006-02-15,2005-01-11,2005-01-12,AAI,,,41.89483392,-87.63944317,"(41.89483391999288, -87.63944317001084)"
21482-20060216,1661409,63341,1,JUAN GARCIA,GARCIA CONSTRUCTION CO,6078 N ALBANY AVE 1,CHICAGO,IL,60659,50,23,50-23,24,1010,Limited Business License,,,21482,RENEW,,2005-12-21,2006-03-31,N,2006-02-16,2007-02-15,2006-03-31,2006-03-31,AAI,,,41.992561354,-87.706901733,"(41.99256135364064, -87.70690173259136)"
2283281-20140417,2283281,384326,1,CELIA MUNDO & ALEJANDRO MENDOZA,HELADOS MUNDOS,2637 S THROOP ST,CHICAGO,IL,60608,11,1,11-1,9,4405,Mobile Food License,786,Sales of Previously Prepared Food (ONLY) that is Enclosed or Wrapped In Individual Portions From a Mobile Food Vehicle (Mobile Food Dispenser),2283281,ISSUE,2013-08-19,2014-04-11,2014-04-11,N,2014-04-17,2016-05-15,2014-04-17,2014-04-17,AAI,,,41.844670721,-87.654962224,"(41.84467072147077, -87.6549622241458)"
2501811-20170330,2501811,378754,6,"RAC ACCEPTANCE EAST, LLC",RAC ACCEPTANCE 07930,1801 W FULLERTON AVE 1,CHICAGO,IL,60614,32,37,32-37,18,1010,Limited Business License,899 | 900,Rental of Furniture | Sale of Furniture,2501811,ISSUE,2016-12-14,2017-01-03,2017-01-03,N,2017-03-30,2017-04-15,2017-01-03,2017-03-30,AAI,,,41.924979469,-87.672853729,"(41.92497946883766, -87.67285372931563)"
2320095-20150710,2320095,389137,1,"CHOP, LLC",Porkchop,1017 S DELANO EAST CT 1 F125,CHICAGO,IL,60605,,,,1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2320095,ISSUE,2014-03-25,2014-10-17,2014-09-29,Y,2015-07-10,2017-07-15,2015-07-10,2015-07-10,AAI,,,41.86957536,-87.63236302,"(41.86957536021414, -87.6323630197253)"
1382615-20090416,1957285,263501,4,"MY MANAGEMENT, INC.",JACKSON & MORGAN SHELL,1001 W JACKSON BLVD,CHICAGO,IL,60607,25,16,25-16,12,1010,Limited Business License,,,1382615,RENEW,,2009-02-17,2009-04-08,N,2009-04-16,2011-04-15,2009-04-08,2009-04-14,AAI,,,41.877757204,-87.652037418,"(41.87775720375397, -87.65203741759878)"
1336215-20040216,1467102,260046,1,K & O HEATING & AIR INC.,K & O HEATING & AIR INC.,2407 JA-LOR CT,WINTHROP HARBOR,IL,60096,,,,,1011,Home Repair,,,1336215,RENEW,,2003-12-15,2004-06-25,N,2004-02-16,2005-02-15,2003-12-22,2008-01-14,AAI,,,,,
2157697-20140616,2326045,362252,3,OCTAVIANO GONZALEZ,GARZA APPLIANCE,8841 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617,10,18,10-18,4,1010,Limited Business License,,,2157697,RENEW,,2014-04-15,2014-10-08,N,2014-06-16,2016-06-15,2014-10-08,2014-12-04,AAI,,5,41.734334453,-87.551215051,"(41.73433445312075, -87.55121505135024)"
1334062-20160516,2454098,57114,3,REMODELING BY THE TIN MAN INC,REMODELING BY THE TIN MAN INC,8331 N KOSTNER AVE,SKOKIE,IL,60076,,,,,1010,Limited Business License,,,1334062,RENEW,,2016-03-15,2016-04-02,N,2016-05-16,2018-05-15,2016-04-02,2016-04-04,AAI,,,,,
2214741-20130916,2274109,258178,1,"ARMANDO SOUNDS, INC.",ARMANDO SOUNDS,2959 W LAWRENCE AVE 1ST,CHICAGO,IL,60625,33,7,33-7,17,8340,Motor Vehicle Services License,713,Motor Vehicle Repair - No Engine Work/No Body Work,2214741,RENEW,,2013-07-15,2013-09-16,N,2013-09-16,2015-09-15,2013-09-16,2013-09-17,AAI,,60,41.968384802,-87.703567797,"(41.968384802056754, -87.7035677968811)"
2114784-20130916,2277084,366099,1,JUANA M. RAMIREZ,VIDA SALUDABLE,5115 S KEDZIE AVE 1ST,CHICAGO,IL,60632,14,35,14-35,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2114784,RENEW,,2013-07-15,2013-09-23,N,2013-09-16,2015-09-15,2013-09-23,2013-09-23,AAI,,,41.800334595,-87.70360601,"(41.80033459491575, -87.7036060100769)"
36785-20020516,1240732,64041,1,P & K NEIGHBORLY INC.,THE RED FROG PUB & GRILL,5353 W IRVING PARK RD 1ST #,CHICAGO,IL,60641,38,35,38-35,16,1781,Tobacco,763,Retail Sale of Tobacco,36785,RENEW,2002-03-27,2002-05-14,2002-05-14,N,2002-05-16,2003-05-15,2002-05-14,2002-07-05,AAI,,,41.953139478,-87.761719334,"(41.95313947805806, -87.76171933389249)"
1807-20090516,1960277,356,1,"DIONISOS RESTAURANT, INC.",AMBASSADOR PUBLIC HOUSE,310 S HALSTED ST 1ST,CHICAGO,IL,60661,27,58,27-58,12,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,1807,RENEW,,2009-03-16,2009-05-27,N,2009-05-16,2011-05-15,2009-08-05,2009-08-05,AAI,,16,41.877594081,-87.64738021,"(41.87759408077344, -87.64738020966664)"
53857-20070816,1830696,57243,1,YOUNG S YOON,Y S JEWELRY,2109 S WABASH AVE C,CHICAGO,IL,60616,3,26,3-26,1,1010,Limited Business License,,,53857,RENEW,,2007-06-21,2007-08-13,N,2007-08-16,2008-06-15,2007-08-13,2007-08-14,AAI,,,41.85395238,-87.625375873,"(41.85395237977426, -87.62537587283745)"
21012-20100616,2028988,52282,1,KI CHUN CHA,MARINE TERRACE CLEANER,4180 N MARINE DR 104,CHICAGO,IL,60613,46,45,46-45,19,1010,Limited Business License,,,21012,RENEW,,2010-04-15,2010-06-04,N,2010-06-16,2012-06-15,2010-06-23,2010-06-24,AAI,,,41.957925546,-87.646483243,"(41.95792554646546, -87.64648324306474)"
83134-20020216,1209681,49945,1,R.C. BINDERY INC,R. C. BINDERY INC,5410 W ROOSEVELT RD 1ST,CHICAGO,IL,60644,29,28,29-28,15,1009,Manufacturing Establishments,,,83134,RENEW,,2001-12-20,2002-01-30,N,2002-02-16,2003-02-15,2002-01-30,2002-01-31,AAI,,,41.865782196,-87.759822212,"(41.86578219576032, -87.75982221163846)"
1069215-20020216,1202395,22295,4,CAPITAL FITNESS INC.,XSPORT FITNESS,3240 N ASHLAND AVE,CHICAGO,IL,60657,47,47,47-47,19,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1069215,RENEW,,2001-12-20,2002-01-18,N,2002-02-16,2003-02-15,2002-04-26,2002-04-29,AAI,,27,41.940944642,-87.668841447,"(41.940944642485604, -87.66884144723274)"
20130-20020216,1215703,88716,2,D & E ALUMINUM INC.,D & E ALUMINUM,5516 W FULLERTON AVE 1ST,CHICAGO,IL,60639,30,35,30-35,25,1011,Home Repair,,,20130,RENEW,,2001-12-20,2002-02-08,N,2002-02-16,2003-02-15,2002-05-15,2002-05-16,AAI,,,41.924114076,-87.764226902,"(41.924114076070545, -87.76422690203309)"
18164-20070516,1808162,28499,1,MICHAEL DENOFRIO,M.A.D. CONSTRUCTION,1227 W FLOURNOY ST 1,CHICAGO,IL,60607,28,28,28-28,12,1010,Limited Business License,,,18164,RENEW,,2007-03-23,2007-04-30,N,2007-05-16,2008-05-15,2007-04-30,2007-05-01,AAI,,,41.873106751,-87.657980821,"(41.8731067513257, -87.65798082083654)"
2054898-20150316,2377873,356274,1,JLK CHICAGO LLC,LAO MA LA CHINESE RESTAURANT,2017 S WELLS ST 1ST,CHICAGO,IL,60616,25,16,25-16,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2054898,RENEW,,2015-01-16,2015-03-13,N,2015-03-16,2017-03-15,2015-03-13,2015-03-13,AAC,2015-06-05,,41.854783776,-87.63273281,"(41.85478377573143, -87.63273280957871)"
11239-20040816,1503826,51108,1,MARIA T STARZEC,NU IMAGE COIFFURES,6159 N NORTHWEST HWY 1,CHICAGO,IL,60631,41,16,41-16,16,1010,Limited Business License,,,11239,RENEW,,2004-06-30,2004-07-22,N,2004-08-16,2005-08-15,2004-07-22,2004-07-23,AAI,,,41.993679269,-87.801032358,"(41.993679269015445, -87.80103235797252)"
1845797-20080227,1845797,321506,1,AMINATA BANGOURA,AMI AFRICAN HAIR BRAIDING,7907-1/2 S COTTAGE GROVE AVE 1ST,CHICAGO,IL,60619,8,43,8-43,6,1010,Limited Business License,,,1845797,ISSUE,2007-08-20,2008-02-27,2008-02-27,N,2008-02-27,2008-10-15,2008-02-27,2008-02-27,AAI,,51,41.751030218,-87.605086981,"(41.75103021750705, -87.60508698096335)"
2246394-20190516,2655460,329892,2,"SAFESPEED, LLC","SAFESPEED, LLC",150 N WACKER DR 8TH,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,602,Administrative Commercial Office,2246394,RENEW,,2019-03-15,2019-04-08,N,2019-05-16,2021-05-15,2019-04-08,2019-04-09,AAI,,,41.884525461,-87.637216392,"(41.88452546095621, -87.63721639247488)"
1095373-20041116,1532894,85305,13,"MCDONALD'S RESTAURANTS OF ILLINOIS, INC.",MCDONALDS RESTAURANT OF IL.,233 N MICHIGAN AVE,CHICAGO,IL,60601,42,44,42-44,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1095373,RENEW,,2004-09-27,2005-01-12,N,2004-11-16,2005-11-15,2005-01-12,2005-01-13,AAI,,,41.886567371,-87.624384671,"(41.886567370886944, -87.62438467059714)"
18299-20130516,2241319,7509,1,D'S BEEF & FRIED RICE,D'S BEEF & FRIED RICE,5451 W MADISON ST,CHICAGO,IL,60644,29,16,29-16,15,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,18299,RENEW,,2013-03-15,2013-05-15,N,2013-05-16,2015-05-15,2013-05-15,2013-05-16,AAI,,,41.88017546,-87.76196224,"(41.8801754595254, -87.76196223963693)"
1491372-20051116,1641248,276172,1,"MORTON'S OF CHICAGO/ WACKER PLACE, LLC",MORTON'S STEAKHOUSE-WACKER PLACE,65 E WACKER PL,CHICAGO,IL,60601,42,9,42-9,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1491372,RENEW,,2005-09-22,2005-10-31,N,2005-11-16,2006-11-15,2005-10-31,2005-11-01,AAI,,,41.88670423,-87.625496374,"(41.886704230249315, -87.62549637410729)"
2206402-20161216,2494289,271696,2,"A EMERGENCY FIRE-BOARD UP, INC.","A Emergency Services and Restoration, Inc.",3101 N WESTERN AVE,CHICAGO,IL,60618,32,7,32-7,19,4404,Regulated Business License,617,Board Up Services for Commercial Locations,2206402,RENEW,,2016-10-15,2016-11-17,N,2016-12-16,2018-12-15,2016-11-17,2016-11-18,AAI,,,41.937689624,-87.687739473,"(41.9376896243661, -87.68773947308173)"
11819-20051116,1628134,26862,1,SOO & HAN INC,SOO & HAN INC,1420 W MORSE AVE,CHICAGO,IL,60626,49,24,49-24,24,1781,Tobacco,763,Retail Sale of Tobacco,11819,RENEW,,2005-09-22,2005-11-09,N,2005-11-16,2006-11-15,2005-11-09,2005-11-10,AAI,,24,42.008001436,-87.666794996,"(42.0080014356504, -87.66679499606407)"
1888934-20080215,1888934,242971,7,"CHERNIN'S SHOE OUTLET, LLC",CHERNIN'S SHOE OUTLET,4648 S HALSTED ST STOREFRONT 1,CHICAGO,IL,60609,11,49,11-49,9,1010,Limited Business License,,,1888934,ISSUE,2008-02-14,2008-02-14,2008-02-14,N,2008-02-15,2008-07-15,2008-02-14,2008-02-15,AAI,,13,41.809436444,-87.64570331,"(41.80943644356016, -87.64570331018476)"
1579852-20121016,2180738,35159,2,FIRST SECURITY PLUS INCORPORATED,FIRST SECURITY PLUS INCORPORATED,8020 S DR MARTIN LUTHER KING JR DR 1ST,CHICAGO,IL,60619,6,44,6-44,6,1568,Motor Vehicle Repair; Specialty(Class I),,,1579852,RENEW,,2012-08-15,2012-10-12,N,2012-10-16,2014-10-15,2012-10-12,2012-10-15,AAC,2012-12-29,,41.748630002,-87.615049311,"(41.74863000171703, -87.61504931073618)"
1694861-20060816,1736675,302766,1,VICTOR A PAREDES,PAREDES CONSTRUCTION,4922 W SCHOOL ST,CHICAGO,IL,60641,31,24,31-24,16,1011,Home Repair,,,1694861,RENEW,,2006-06-21,2006-08-07,N,2006-08-16,2007-08-15,2006-08-30,2006-08-31,AAI,,,41.940718112,-87.750355437,"(41.94071811237766, -87.75035543684592)"
1742258-20081116,1931174,306412,2,"MOHIL ENTERPRISES, LLC",ADDISON SHELL,3552 N ASHLAND AVE 1,CHICAGO,IL,60657,47,22,47-22,19,1010,Limited Business License,,,1742258,RENEW,,2008-09-15,2008-10-20,N,2008-11-16,2010-11-15,2008-10-20,2008-10-21,AAI,,27,41.946727297,-87.668999271,"(41.94672729745168, -87.66899927101302)"
28403-20060816,1726098,53277,1,LAKEVIEW SELF STORAGE,STRONGBOX,1650 W IRVING PARK RD 1ST,CHICAGO,IL,60613,47,25,47-25,19,1010,Limited Business License,,,28403,RENEW,,2006-06-21,2006-07-26,N,2006-08-16,2007-08-15,2006-07-26,2006-07-27,AAI,,31,41.954370949,-87.671036153,"(41.95437094912419, -87.67103615266724)"
9691-20051116,1633373,62903,1,NORMAN & JIM & DENNIS TURNER,JED'S FRUIT & VEGETABLE MRK,10500 S HALSTED ST 1ST,CHICAGO,IL,60628,34,21,34-21,22,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,9691,RENEW,,2005-09-22,2005-10-28,N,2005-11-16,2006-11-15,2005-10-28,2005-10-31,AAI,,45,41.703185819,-87.642864592,"(41.70318581871623, -87.64286459221051)"
9307-20020816,1260195,50869,1,RONALD CIPICH,RON'S GOLD SHOP,9203 S COMMERCIAL AVE 1ST,CHICAGO,IL,60617,10,25,10-25,4,1010,Limited Business License,,,9307,RENEW,,2002-06-28,2002-08-12,N,2002-08-16,2003-08-15,2002-08-12,2002-08-13,AAC,2003-03-26,5,41.728115355,-87.551065736,"(41.72811535472383, -87.55106573627103)"
7845-20120316,2134975,3926,1,PARKER HOUSE SAUSAGE COMPANY,PARKER HOUSE SAUSAGE CO,4605 S STATE ST,CHICAGO,IL,60609,3,1,3-1,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,7845,RENEW,,2012-01-17,2012-02-28,N,2012-03-16,2014-03-15,2012-02-28,2012-02-29,AAI,,56,41.810852153,-87.625977224,"(41.81085215266352, -87.62597722372463)"
44127-20140616,2322524,55648,1,KWANG SOO PARK,SMILE CLEANERS,1849 W ADDISON ST 1ST,CHICAGO,IL,60613,47,47,47-47,19,1010,Limited Business License,648,Dry Cleaning - Drop Off Location,44127,RENEW,,2014-04-15,2014-05-20,N,2014-06-16,2016-06-15,2014-05-20,2014-05-21,AAI,,,41.946789682,-87.675875113,"(41.94678968239612, -87.67587511300516)"
2084176-20120402,2084176,360154,1,CAVANA CORPORATION,Mirai Sushi Gold Coast,198 E DELAWARE PL 1,CHICAGO,IL,60611,2,35,2-35,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2084176,ISSUE,2011-03-01,2011-06-09,2011-06-09,Y,2012-04-02,2014-04-15,2012-04-02,2012-04-02,AAI,,,41.899351735,-87.621986906,"(41.89935173506942, -87.62198690644685)"
